120.37.142.161	Wed May 03 2017 09:53:30 GMT+0800 (HKT)
120.37.141.108	Wed May 03 2017 09:55:31 GMT+0800 (HKT)
120.37.141.38	Wed May 03 2017 09:57:31 GMT+0800 (HKT)
120.37.141.38	Wed May 03 2017 09:59:33 GMT+0800 (HKT)
120.37.141.38	Wed May 03 2017 10:01:34 GMT+0800 (HKT)
120.37.141.66	Wed May 03 2017 10:03:34 GMT+0800 (HKT)
120.37.141.66	Wed May 03 2017 10:05:35 GMT+0800 (HKT)
120.37.141.66	Wed May 03 2017 10:07:36 GMT+0800 (HKT)
120.37.142.95	Wed May 03 2017 10:09:37 GMT+0800 (HKT)
120.37.142.95	Wed May 03 2017 10:11:38 GMT+0800 (HKT)
27.152.29.5	Wed May 03 2017 10:13:39 GMT+0800 (HKT)
27.152.29.5	Wed May 03 2017 10:15:39 GMT+0800 (HKT)
27.152.29.5	Wed May 03 2017 10:17:40 GMT+0800 (HKT)
120.37.142.137	Wed May 03 2017 10:19:41 GMT+0800 (HKT)
120.37.142.137	Wed May 03 2017 10:21:41 GMT+0800 (HKT)
27.152.29.155	Wed May 03 2017 10:23:42 GMT+0800 (HKT)
27.152.29.155	Wed May 03 2017 10:25:43 GMT+0800 (HKT)
27.152.29.155	Wed May 03 2017 10:27:43 GMT+0800 (HKT)
27.152.29.110	Wed May 03 2017 10:29:45 GMT+0800 (HKT)
27.152.29.110	Wed May 03 2017 10:31:45 GMT+0800 (HKT)
120.37.142.137	Wed May 03 2017 10:33:46 GMT+0800 (HKT)
120.37.142.137	Wed May 03 2017 10:35:47 GMT+0800 (HKT)
120.37.142.137	Wed May 03 2017 10:37:47 GMT+0800 (HKT)
120.37.142.37	Wed May 03 2017 10:39:48 GMT+0800 (HKT)
120.37.142.37	Wed May 03 2017 10:41:49 GMT+0800 (HKT)
120.37.142.159	Wed May 03 2017 10:43:49 GMT+0800 (HKT)
120.37.142.159	Wed May 03 2017 10:45:50 GMT+0800 (HKT)
120.37.142.159	Wed May 03 2017 10:47:52 GMT+0800 (HKT)
